
German,https://www.otago.ac.nz/study/subjects/germ
Global Studies,https://www.otago.ac.nz/study/subjects/glbl
Greek,https://www.otago.ac.nz/study/subjects/grek
Health Economics,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Promotion (for PGCertPH),https://www.otago.ac.nz/study/qualifications/pgcertph
Health Sciences,https://www.otago.ac.nz/study/subjects/hasc
Health Services Policy,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Systems and Services,https://www.otago.ac.nz/study/qualifications/pgcertph
Health Management,https://www.otago.ac.nz/study/subjects/hlmt
Hebrew,https://www.otago.ac.nz/study/subjects/hebr
Higher Education,https://www.otago.ac.nz/study/subjects/hedu
History,https://www.otago.ac.nz/study/subjects/hist
Hospitality,https://www.otago.ac.nz/study/subjects/hosp
Human Nutrition,https://www.otago.ac.nz/study/subjects/hunt
Human Resource Management,https://www.otago.ac.nz/study/subjects/hurm
Human Services,https://www.otago.ac.nz/study/subjects/study-human-services-at-otago
Human Services Law,https://www.otago.ac.nz/study/subjects/husl
Immunology,https://www.otago.ac.nz/study/subjects/immu
Indigenous Studies,https://www.otago.ac.nz/study/subjects/inds
Infection and Immunity,https://www.otago.ac.nz/study/subjects/inim
Information and Communications Technology,https://www.otago.ac.nz/study/subjects/ictc
Information Science,https://www.otago.ac.nz/study/subjects/info
International Business,https://www.otago.ac.nz/study/subjects/intb
International Studies,https://www.otago.ac.nz/study/qualifications/mintst
Irish Studies,https://www.otago.ac.nz/study/subjects/irst
Japanese,https://www.otago.ac.nz/study/subjects/japa
Land Planning and Development,https://www.otago.ac.nz/study/subjects/ldpd
Languages and Linguistics,https://www.otago.ac.nz/study/subjects/lali
Latin,https://www.otago.ac.nz/study/subjects/latn
Law,https://www.otago.ac.nz/study/subjects/laws
Linguistics,https://www.otago.ac.nz/study/subjects/ling
Management,https://www.otago.ac.nz/study/subjects/mant
Māori Health,https://www.otago.ac.nz/study/subjects/maoh
Māori Studies,https://www.otago.ac.nz/study/subjects/maor
Marine Environmental Science,https://www.otago.ac.nz/study/subjects/maen
Marine Science,https://www.otago.ac.nz/study/subjects/mari
Marketing,https://www.otago.ac.nz/study/subjects/mart
Mathematics,https://www.otago.ac.nz/study/subjects/math
Medical Laboratory Science,https://www.otago.ac.nz/study/subjects/mels
Medicine,https://www.otago.ac.nz/study/subjects/micn
Medicines Optimisation,https://www.otago.ac.nz/study/qualifications/pgcertpharm
Mental Health,https://www.otago.ac.nz/study/subjects/menh
Microbiology,https://www.otago.ac.nz/study/subjects/micr
Ministry,https://www.otago.ac.nz/study/subjects/mins
Molecular Basis of Health and Disease,https://www.otago.ac.nz/study/subjects/mbhd
Molecular Biotechnology,https://www.otago.ac.nz/study/subjects/mobi
Musculoskeletal Management,https://www.otago.ac.nz/study/subjects/msmt
Musculoskeletal Medicine,https://www.otago.ac.nz/study/subjects/msme
Music,https://www.otago.ac.nz/study/subjects/musi
Music Production,https://www.otago.ac.nz/study/subjects/musp
Natural History Filmmaking and Communication,https://www.otago.ac.nz/study/subjects/nhfc
Neuropsychology,https://www.otago.ac.nz/study/subjects/npsy
Neuroscience,https://www.otago.ac.nz/study/subjects/neur
Nursing,https://www.otago.ac.nz/study/subjects/nurs
Nursing (Advanced Mental Health),https://www.otago.ac.nz/study/subjects/namh
Nursing (Clinical),https://www.otago.ac.nz/study/subjects/nucl
Nursing (Gerontology),https://www.otago.ac.nz/study/subjects/nuge
Nursing (High Acuity),https://www.otago.ac.nz/study/subjects/nuha
Nursing (Leadership and Management),https://www.otago.ac.nz/study/subjects/nulm
Nursing (Long-term Condition Management),https://www.otago.ac.nz/study/subjects/nult
Nursing (Primary Health Care),https://www.otago.ac.nz/study/subjects/nphc1
Nursing (Specialty Mental Health),https://www.otago.ac.nz/study/subjects/nsmh
Nutrition and Metabolism in Human Health,https://www.otago.ac.nz/study/subjects/nmhh
Nutrition Communication,https://www.otago.ac.nz/study/subjects/nuco
Obstetrics and Gynaecology,https://www.otago.ac.nz/study/subjects/obst
Occupational Health,https://www.otago.ac.nz/study/subjects/occx
Occupational Medicine,https://www.otago.ac.nz/study/subjects/ocmd
Oceanography,https://www.otago.ac.nz/study/subjects/ocen
Ophthalmology,https://www.otago.ac.nz/study/subjects/opht
Oral Medicine,https://www.otago.ac.nz/study/subjects/orme
Oral Pathology,https://www.otago.ac.nz/study/subjects/orpa
Oral Surgery,https://www.otago.ac.nz/study/subjects/orsu
Oral Health,https://www.otago.ac.nz/study/subjects/deoh
Orthodontics,https://www.otago.ac.nz/study/subjects/orth
Pacific and Global Health,https://www.otago.ac.nz/study/subjects/pach
Pacific Islands Studies,https://www.otago.ac.nz/study/subjects/paci
Paediatric Dentistry,https://www.otago.ac.nz/study/subjects/padn
Pain and Pain Management,https://www.otago.ac.nz/study/subjects/pain
Pastoral Studies,https://www.otago.ac.nz/study/subjects/past
Pathology,https://www.otago.ac.nz/study/subjects/path
Peace and Conflict Studies,https://www.otago.ac.nz/study/subjects/peac
Performance,https://www.otago.ac.nz/study/subjects/perf
Performing Arts,https://www.otago.ac.nz/study/subjects/perf1
Perinatal Mental Health,https://www.otago.ac.nz/study/subjects/pnmh
Periodontology,https://www.otago.ac.nz/study/subjects/peri
Pharmaceutical Science,https://www.otago.ac.nz/study/subjects/psci
Pharmacology,https://www.otago.ac.nz/study/subjects/phal
Pharmacy,https://www.otago.ac.nz/study/subjects/phcy
Philosophy,https://www.otago.ac.nz/study/subjects/phil
"Philosophy, Politics and Economics",https://www.otago.ac.nz/study/subjects/phpe
Physical Activity and Health,https://www.otago.ac.nz/study/subjects/pahe
Physical Education,https://www.otago.ac.nz/study/subjects/phse
